Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
APL2-2587,Elvis Presley,Elvis In Concert,RCA,"2xLP, Album, Ind",,1977,2746635,Uncategorized,2025-06-15 10:50:59,,,
KKL1-7065,Elvis Presley,A Canadian Tribute,RCA,"LP, Comp, Yel",,1978,3147243,Uncategorized,2025-06-15 09:32:44,,,
LSP-4852,David Bowie,Aladdin Sane,RCA,"LP, Album, Hol",,1973,8284392,Uncategorized,2025-06-15 10:22:23,,,
SX-108,Wilson Pickett,Wilson Pickett,RCA,"LP, Comp",,1974,9674008,Uncategorized,2026-04-07 18:06:04,,,
VPSX-6089,Elvis Presley,Aloha From Hawaii Via Satellite,RCA,"2xLP, Album, Quad, Die",,1973,3183141,Uncategorized,2025-06-15 10:09:22,,,
CAL-2428,Elvis Presley,Elvis' Christmas Album,RCA Camden,"LP, Album, Mono, Hol",,1970,1421937,Uncategorized,2025-06-15 10:10:48,,,
CAL-2518,Elvis Presley,C'mon Everybody,RCA Camden,"LP, Album, Comp, Mono",,1971,2495977,Uncategorized,2025-11-08 09:07:51,,,
CAS-2525,Andy Williams,Andy Williams,RCA Camden,"LP, Comp, Hol",,1971,3249164,Uncategorized,2025-06-15 10:49:23,,,
CAS-2567,Elvis Presley,"Elvis Sings Hits From His Movies, Volume 1",RCA Camden,"LP, Comp, Ind",,1972,2495987,Uncategorized,2025-06-15 09:09:13,,,
CAS-2595,Elvis Presley,"Burning Love And Hits From His Movies, Vol. 2",RCA Camden,"LP, Comp, Ind",,1972,2130601,Uncategorized,2025-06-15 09:21:42,,,
19802-91179-1,Colter Wall,Imaginary Appalachia ,RCA Records,"LP, Ltd, RE, Gre",,2025,34495066,Uncategorized,2025-11-08 09:02:53,,,
ARL1-1312,Tomita,Firebird,RCA Red Seal,"LP, Album",,1976,1691481,Uncategorized,2026-04-07 18:05:05,,,
6382-1-R,Elvis Presley,The Number One Hits,RCA Victor,"LP, Comp, RM, Hau",,1987,1440550,Uncategorized,2025-06-15 10:10:57,,,
8468-1-R,Elvis Presley,Elvis In Nashville 1956 - 1971,RCA Victor,"LP, Comp",,1988,3846487,Uncategorized,2025-06-15 10:09:49,,,
APL1-0388,Elvis Presley,Raised On Rock / For Ol' Times Sake,RCA Victor,"LP, Album, Hol",,1973,733321,Uncategorized,2025-11-08 09:04:33,,,
APL1-0950,Dolly Parton,The Bargain Store,RCA Victor,"LP, Album, Ind",,1975,3519935,Uncategorized,2025-11-06 15:15:58,,,
APL1-1062,Waylon Jennings,Dreaming My Dreams,RCA Victor,"LP, Album, Hol",,1975,1707551,Uncategorized,2026-04-07 18:22:12,,,
APL1-1117,Dolly Parton,Best Of Dolly Parton,RCA Victor,"LP, Comp, Hol",,1975,20255188,Uncategorized,2025-06-15 10:05:55,,,
APL1-1816,Waylon Jennings,Are You Ready For The Country,RCA Victor,"LP, Album, Ind",,1976,1707516,Uncategorized,2025-06-15 10:10:38,,,
AYL1-3735,Elvis Presley,G.I. Blues,RCA Victor,"LP, Album, RE",,1980,6117487,Uncategorized,2025-06-15 10:07:26,,,
CPL1-0475,Elvis Presley,Good Times,RCA Victor,"LP, Album",,1974,6084098,Uncategorized,2025-11-08 09:04:52,,,
CPL1-0576,David Bowie,Diamond Dogs,RCA Victor,"LP, Album, Hol",,1974,710506,Uncategorized,2026-04-07 18:03:48,,,
CPL1-0606,Elvis Presley,Recorded Live On Stage In Memphis,RCA Victor,"LP, Album",,1974,2496070,Uncategorized,2025-06-15 09:26:08,,,
CPL1-4395,Elvis Presley,Memories Of Christmas,RCA Victor,"LP, Comp",,1982,3151324,Uncategorized,2025-06-15 10:51:32,,,
CPL3-0697,Various,Great Country Hits Of The Year,RCA Victor,"3xLP, Comp",,1974,3138909,Uncategorized,2025-06-15 09:01:34,,,
LPM 1515,Elvis Presley,Loving You,RCA Victor,"LP, Album, Mono, Roc",,1957,1841133,Uncategorized,2025-06-15 09:57:18,,,
LPM 3758,Elvis Presley,How Great Thou Art,RCA Victor,"LP, Album, Mono",,1967,3399492,Uncategorized,2025-06-15 09:55:02,,,
LPM-1248,Harry Belafonte,Calypso,RCA Victor,"LP, Album, Mono, Hol",,1956,521508,Uncategorized,2025-06-15 10:47:01,,,
LPM-1382,Elvis Presley,Elvis,RCA Victor,"LP, Album, Mono, Ind",,1956,1615714,Uncategorized,2025-06-15 09:57:03,,,
LPM-2765,Elvis Presley,"Elvis' Golden Records, Volume 3",RCA Victor,"LP, Comp, Mono, Ind",,1963,3751792,Uncategorized,2025-06-15 09:42:53,,,
LPM-4088,Elvis Presley,Elvis (TV Special),RCA Victor,"LP, Album, Mono, Hol",,1968,4118915,Uncategorized,2025-06-15 10:06:17,,,
LPM-6402,Elvis Presley,The Other Sides - Worldwide Gold Award Hits - Vol. 2,RCA Victor,"4xLP, Comp, Mono, Dyn + Box",,1971,2774794,Uncategorized,2025-06-15 09:07:57,,,
LSP 4039,Porter Wagoner And Dolly Parton,Just The Two Of Us,RCA Victor,"LP, RP",,1968,4354286,Uncategorized,2025-06-15 10:08:36,,,
LSP-1990(e),Elvis Presley,For LP Fans Only,RCA Victor,"LP, Comp, RE",,1971,6010906,Uncategorized,2025-06-15 09:29:01,,,
LSP-2075(e),Elvis Presley,"50,000,000 Elvis Fans Can't Be Wrong (Elvis' Gold Records, Vol. 2)",RCA Victor,"LP, Comp, RE",,1976,3430966,Uncategorized,2025-06-15 10:04:20,,,
LSP-2687,U.S. Marine Band,John F. Kennedy Center For The Performing Arts Presents The United States Marine Band,RCA Victor,"LP, Album",,1964,2725175,Uncategorized,2025-06-15 10:44:09,,,
LSP-2990,Henry Mancini And His Orchestra And Chorus,Dear Heart (And Other Songs About Love),RCA Victor,"LP, Album",,1964,1261319,Uncategorized,2025-07-06 09:45:00,,,
LSP-3450,Elvis Presley,Elvis For Everyone!,RCA Victor,"LP, Album, Ind",,1965,3034795,Uncategorized,2025-06-15 09:53:39,,,
LSP-3713,Henry Mancini And His Orchestra And Chorus,Music Of Hawaii,RCA Victor,"LP, Album, Hol",,1966,1340443,Uncategorized,2025-06-15 10:42:09,,,
LSP-3895,Charley Pride,The Country Way,RCA Victor,"LP, Album, Ind",,1967,3513341,Uncategorized,2026-04-07 18:13:40,,,
LSP-4239,Henry Mancini And His Orchestra,Six Hours Past Sunset,RCA Victor,"LP, Album",,1969,2024566,Uncategorized,2025-06-15 10:43:51,,,
LSP-4362,Elvis Presley,"On Stage - February, 1970",RCA Victor,"LP, Album",,1970,2481042,Uncategorized,2025-06-15 09:53:16,,,
LSP-4428,Elvis Presley,"Elvis In Person At The International Hotel Las Vegas, Nevada",RCA Victor,"LP, Album",,1970,6461863,Uncategorized,2025-06-15 09:56:06,,,
LSP-4445,Elvis Presley,Elvis - That's The Way It Is,RCA Victor,"LP, Album, Roc",,1970,2961522,Uncategorized,2025-06-15 09:54:54,,,
LSP-4460,Elvis Presley,"Elvis Country (I'm 10,000 Years Old)",RCA Victor,"LP, Album, Ind",,1971,2689379,Uncategorized,2025-06-15 09:32:05,,,
LSP-4530,Elvis Presley,Love Letters From Elvis,RCA Victor,"LP, Album, RE",,1971,2470595,Uncategorized,2025-06-15 09:19:21,,,
LSP-4629,Henry Mancini & Doc Severinsen,Brass On Ivory,RCA Victor,"LP, Album",,1972,2223044,Uncategorized,2025-06-15 10:43:43,,,
LSP-4671,Elvis Presley,Elvis Now,RCA Victor,"LP, Album, Roc",,1972,2475771,Uncategorized,2025-06-15 10:01:59,,,
LSP-4776,Elvis Presley,Elvis As Recorded At Madison Square Garden,RCA Victor,"LP, Album, Roc",,1972,1619790,Uncategorized,2025-06-15 10:03:14,,,
LSP-4806,Gene Page,Blacula (Music From The Original Soundtrack),RCA Victor,"LP, Album",,1972,550462,Uncategorized,2025-06-15 10:36:07,,,
PL 02913(2),David Bowie,Stage,RCA Victor,"2xLP, Album, Gat",,1978,1595029,Uncategorized,2025-06-15 10:22:04,,,
PL 12428,Elvis Presley,Moody Blue,RCA Victor,"LP, Album",,1977,2239265,Uncategorized,2025-06-15 09:42:08,,,
19349-71440-1,Elvis Presley,Elvis' Golden Records,"RCA Victor, Legacy","LP, Comp, Mono, RE, Gol",,2020,15012082,Uncategorized,2025-06-15 09:46:17,,,
AAL1-3917,Elvis Presley,Guitar Man,"RCA Victor, RCA","LP, Album, Ind",,1981,808872,Uncategorized,2025-06-15 10:02:07,,,
"LPM-2523, LPM 2523",Elvis Presley,Pot Luck,"RCA Victor, RCA Victor","LP, Album, Mono, Ind",,1962,4382160,Uncategorized,2025-06-15 09:22:19,,,
"LSP-2990, LSP 2990",Henry Mancini And His Orchestra And Chorus,Dear Heart And Other Songs About Love,"RCA Victor, RCA Victor","LP, Album",,1965,2398123,Uncategorized,2025-11-08 09:12:08,,,
"LSP-3921, LSP 3921",Elvis Presley,Elvis' Gold Records - Volume 4,"RCA Victor, RCA Victor","LP, Comp, Ind",,1968,2192724,Uncategorized,2025-06-15 09:37:25,,,
"APL 1-1039, APL1-1039, 26.21513",Elvis Presley,Today,"RCA Victor, RCA Victor, RCA Victor","LP, Album",,1975,2021573,Uncategorized,2025-11-08 09:04:43,,,
"LPM-1951, LPM-1951RE, LPM 1951",Elvis Presley,Elvis' Christmas Album,"RCA Victor, RCA Victor, RCA Victor","LP, Album, Mono, RE",,1964,21579277,Uncategorized,2025-11-08 09:05:22,,,
19658810261,Elvis Presley,Elvis Sings The Wonderful World Of Christmas,"RCA Victor, RCA, Sony Music, Legacy","LP, Album, RE",,2023,28588219,Uncategorized,2025-06-15 09:38:13,,,
19658854281,Vincent Neil Emerson,The Golden Crystal Kingdom,"RCA, La Honda Records","LP, Album",,2023,28829716,Uncategorized,2025-06-15 09:21:21,,,
888837422241S1,Elvis Presley,Elvis At Stax,"RCA, Legacy","2xLP, Comp, RM, 180",,2013,4793940,Uncategorized,2024-03-23 14:12:08,Very Good (VG),Very Good Plus (VG+),
19439883881,Elvis Presley,Elvis Back In Nashville,"RCA, Legacy, Sony Music","2xLP, Comp",,2021,20951653,Uncategorized,2025-06-15 09:44:47,,,
88875111961,Elvis Presley,ELV1S 30 #1 Hits,"RCA, Legacy, Sony Music","2xLP, Comp, RE, 180",,2015,7432974,Uncategorized,2025-06-15 10:11:13,,,
19802801531,Elvis Presley,Memphis,"RCA, Legacy, Sony Music, RCA Victor",2xLP,,2024,31438394,Uncategorized,2025-06-15 09:42:18,,,
"19075874931, LSP-2625, LSP 2625",Sam Cooke,The Best Of Sam Cooke,"RCA, Legacy, Sony Music, RCA Victor, RCA Victor","LP, Comp, RE",,2018,12674543,Uncategorized,2025-11-08 08:59:57,,,
88985432661,Elvis Presley,A Boy From Tupelo: The Sun Masters,"RCA, Legacy, Sony Music, Sun (9)","LP, Comp",,2017,10642798,Uncategorized,2025-11-08 09:03:35,,,
MOVLP042,Elvis Presley,Elvis Presley,"RCA, Music On Vinyl","LP, Album, RE, 180",,2009,2503738,Uncategorized,2025-06-15 10:04:34,,,
"R213690, R 213690",Elvis Presley,"Worldwide Gold Award Hits, Parts 1 & 2","RCA, RCA","2xLP, Comp, Mono",,1974,779749,Uncategorized,2026-04-07 18:17:09,,,
CALX-2472,Elvis Presley,You'll Never Walk Alone,"RCA, RCA Camden","LP, Comp, Mono, Hol",,1971,3194016,Uncategorized,2025-06-15 09:02:08,,,
KSL2-7031,Elvis Presley,Elvis Forever,"RCA, RCA Special Products","2xLP, Comp",,1975,1554164,Uncategorized,2025-06-15 10:05:48,,,
APL1-0873,Elvis Presley,Promised Land,"RCA, RCA Victor","LP, Album, Tan",,1975,2687059,Uncategorized,2025-06-15 09:42:01,,,
AFL1-5181,Sam Cooke,"Live At The Harlem Square Club, 1963","RCA, RCA Victor, ABKCO","LP, Album",,1985,1354445,Uncategorized,2025-11-06 15:13:12,,,
"RD-27224, RD.27224, LSP-2370",Elvis Presley,Something For Everybody,"RCA, RCA, RCA","LP, Album, Mono",,1961,2000858,Uncategorized,2025-06-15 09:43:02,,,
"APL1-1327, APLI-1327, APL1 1327",David Bowie,Station To Station,"RCA, RCA, RCA Victor","LP, Album",,1976,4425540,Uncategorized,2025-06-15 10:21:54,,,
RD4-44-2,Various,Great Hits Of The Great Bands - 12 All-Time Favorites,"Reader's Digest, RCA Custom","LP, Comp, Ind",,1969,3492097,Uncategorized,2025-06-15 10:44:17,,,
RDA 177-A,Henry Mancini,Moon River The Many Moods Of Henry Mancini,"Reader's Digest, RCA Custom","8xLP + Box, Comp, Dyn",,1975,6149209,Uncategorized,2025-06-15 10:48:08,,,
"RGM- 0041, 88697974262",David Axelrod, David Axelrod's Rock Interpretation Of Handel's Messiah,"Real Gone Music, Real Gone Music","CD, Album, RE, RM, Min",,2012,4410248,Uncategorized,2025-06-15 10:22:51,,,
RMLP9414,Gladys Knight And The Pips,Gladys Knight And The Pips,Reel (2),"LP, Album, RSD, RE, RM",,2022,25282447,Uncategorized,2025-06-15 09:45:57,,,
RR7412,Windhand,Eternal Return,Relapse Records,"2xLP, Album, Ltd, Ele",,2018,12606025,Uncategorized,2025-06-15 10:26:51,,,
093624830399,Tom Petty And The Heartbreakers,The Live Anthology: From The Vaults Vol. 1,Reprise Records,"2xLP, RSD, Comp, Ltd, Num, Tur",,2025,35786770,Uncategorized,2026-04-07 18:02:24,,,
093624976349,Neil Young,Harvest,Reprise Records,"LP, Album, RE, RM, 180",,2009,16810944,Uncategorized,2025-11-08 09:00:55,,,
3RS 2257,Neil Young,Decade,Reprise Records,"3xLP, Album, Comp, Win",,1977,2114184,Uncategorized,2025-06-15 10:26:08,,,
HS 2295,Neil Young & Crazy Horse,Rust Never Sleeps,Reprise Records,"LP, Album",,1979,944143,Uncategorized,2025-06-15 10:26:16,,,
MS 2035,Jethro Tull,Aqualung,Reprise Records,"LP, Album, Ter",,1971,596450,Uncategorized,2025-06-15 10:49:04,,,
MS 2123,Gram Parsons,GP,Reprise Records,"LP, Album, Ter",,1973,1163481,Uncategorized,2025-06-15 09:47:45,,,
MS 2221,Neil Young,Tonight's The Night,Reprise Records,"LP, Album, Gat",,1975,1273539,Uncategorized,2025-06-15 10:47:50,,,
R6184,The Kinks,Kinks Kinkdom,Reprise Records,"LP, Album, Mono",,1965,1956148,Uncategorized,2025-06-15 10:35:41,,,
"6275, RS 6275",The Electric Prunes,Mass In F Minor,"Reprise Records, Reprise Records","LP, Album, Ltd, RE, 180",,0,1115460,Uncategorized,2025-06-15 10:31:54,,,
"RS 6349, 6349",Neil Young With Crazy Horse,Everybody Knows This Is Nowhere,"Reprise Records, Reprise Records","LP, Album, Pit",,1969,1336190,Uncategorized,2025-06-15 10:47:43,,,
"RS 6383, 6383",Neil Young,After The Gold Rush,"Reprise Records, Reprise Records","LP, Album, Gat",,1970,3345290,Uncategorized,2025-06-15 09:34:03,,,
"RCD1 2038, 081227882549, R1 2038, 603497844173",Joni Mitchell,Blue,"Reprise Records, Reprise Records, Reprise Records, Reprise Records","LP, Album, RSD, RE, RM, Cle",,2022,24748850,Uncategorized,2025-06-15 09:24:03,,,
"RCV1 2051, 603497844128",Quincy Jones,$ (Music From The Original Motion Picture Sound Track),"Reprise Records, Rhino Records (2), Reprise Records","LP, Album, Ltd, RE, Gre",,2022,21775351,Uncategorized,2025-06-15 09:15:53,,,
093624881704,Neil Young,Harvest,"Reprise Records, Shakey Pictures Records","LP, Album, RE, RM + LP + 7"", Single + DVD + DVD + ",,2022,25343665,Uncategorized,2025-09-05 07:51:02,,,
00199957124461,Taylor Swift,The Fate Of Ophelia,Republic Records,"7"", Single, Ora",,2026,36082807,Uncategorized,2026-04-07 18:12:39,,,
00602435034881,Taylor Swift,Folklore,Republic Records,"2xLP, Album, Dlx, Bro",,2020,16242480,Uncategorized,2026-04-07 18:05:39,,,
00602567410256,Lord Huron,Vide Noir,Republic Records,"2xLP, Album",,2018,11894370,Uncategorized,2025-11-06 15:16:51,,,
0245554214,Taylor Swift,1989 (Taylor's Version),Republic Records,"2xLP, Album, S/Edition, Blu",,2023,28638091,Uncategorized,2025-06-15 10:59:12,,,
2445790074,Taylor Swift,Midnights,Republic Records,"LP, Album, S/Edition, Bro",,2022,24893972,Uncategorized,2025-06-18 20:29:54,,,
2448438065,Taylor Swift,Speak Now (Taylor's Version),Republic Records,"3xLP, Album, Vio",,2023,27604608,Uncategorized,2025-06-15 11:01:53,,,
602468003496,Taylor Swift,The Tortured Poets Department: The Anthology,Republic Records,"LP, Cle + LP, Gre + LP, Dar + LP, Gol + Album",,2024,32428182,Uncategorized,2025-06-15 09:38:52,,,
B0033410-01,Taylor Swift,Evermore,Republic Records,"2xLP, Album, Dlx, Tra",,2021,21794644,Uncategorized,2025-06-15 10:59:32,,,
B0033582-01,Taylor Swift,Fearless (Taylor's Version),Republic Records,"3xLP, Album, Ltd, Red",,2021,20446987,Uncategorized,2025-06-15 10:54:23,,,
B0034422-01,Taylor Swift,Red (Taylor's Version),Republic Records,"4xLP, Album",,2021,20939464,Uncategorized,2025-06-15 10:51:25,,,
B0036417-01,Taylor Swift,Lover (Live From Paris),Republic Records,"8"", Shape, Pin + 8"", Shape, Pin + Comp, RE, RP, S/",,2025,32796732,Uncategorized,2025-06-15 09:34:11,,,
"00602478225260.2, 00602478225260.1",Taylor Swift,The Life Of A Showgirl,"Republic Records, Republic Records","LP, Album, Ora",,2025,35238409,Uncategorized,2025-11-08 09:13:28,,,
"602458933314, 602458933369",Taylor Swift,The Tortured Poets Department,"Republic Records, Republic Records","2xLP, Album, Cle",,2024,30444293,Uncategorized,2025-06-15 10:02:17,,,
"B0032823-01, B0032754-01, B0032752-01",Taylor Swift,Folklore,"Republic Records, Republic Records, Republic Records","2xLP, Album, Dlx, RP, Red",,0,30560494,Uncategorized,2025-06-15 11:01:32,,,
602508148453,Taylor Swift,Lover,"Republic Records, Universal Music","LP, Pin + LP, Blu + Album",,2019,25106521,Uncategorized,2025-06-15 11:01:42,,,
HLP-9029B,"Wes Montgomery, Wynton Kelly Trio",Smokin' In Seattle (Live At The Penthouse),Resonance Records,"LP, Album, RSD, Mono, Ltd, Num, RE, 180",,2025,33678129,Uncategorized,2025-06-15 09:19:04,,,
081227933975,Various,Twin Peaks (Music From The Limited Event Series),Rhino Records (2),"2xLP, Album, Comp, Ltd, Red",,2017,10889050,Uncategorized,2025-06-15 10:38:58,,,
R1 70316,The Kinks,Kinda Kinks,Rhino Records (2),"LP, Album, Mono, RE, RM",,1988,3141902,Uncategorized,2025-06-15 10:35:30,,,
"RCV1 728254, 081227808785",Ramones,Live (CBGB • 1977),"Rhino Records (2), Sire","LP, RSD, Ltd, RE, Red",,2025,35786500,Uncategorized,2026-04-07 18:03:05,,,
824 865-1 M-1,John Cougar Mellencamp,Scarecrow,Riva (2),"LP, Album, Club, PRC",,1985,10395804,Uncategorized,2025-06-15 10:12:51,,,
RM 459,Wes Montgomery,Boss Guitar,Riverside Records,"LP, Album, Mono",,1963,4999004,Uncategorized,2026-04-07 18:12:23,,,
RR 9717,Metallica,Master Of Puppets,"Roadrunner Records, Music For Nations","LP, Album",,1986,371142,Uncategorized,2025-06-15 10:18:20,,,
COC 39108,The Rolling Stones,Some Girls,Rolling Stones Records,"LP, Album, 1st",,1978,3030024,Uncategorized,2025-06-15 10:38:31,,,
COC 59100,The Rolling Stones,Sticky Fingers,Rolling Stones Records,"LP, Album, RI ",,1971,451342,Uncategorized,2025-06-15 10:39:10,,,
R-2110,Various,Motown Superstars,Ronco,"LP, Comp",,1976,2973994,Uncategorized,2025-06-15 09:58:22,,,
1166101289,Sierra Ferrell,Long Time Coming,Rounder Records,"LP, Album, Bla",,2021,19924693,Uncategorized,2025-11-08 09:02:30,,,
none,Sierra Ferrell,Trail Of Flowers,Rounder Records,"LP, Album, Ltd, Cle",,2024,30202739,Uncategorized,2025-06-15 09:41:10,,,
RS-2-4100,Various,Sgt. Pepper's Lonely Hearts Club Band,RSO,"2xLP, Album, Kee",,1978,762024,Uncategorized,2025-06-15 09:03:16,,,
88875021571,Lauryn Hill,The Miseducation Of Lauryn Hill,"Ruffhouse Records, Columbia","2xLP, Album, RE",,2014,6546645,Uncategorized,2025-06-15 09:59:55,,,
00050087513344,Joss Stone,"Merry Christmas, Love","S-Curve Records, Hollywood Records","LP, Album",,2022,25072510,Uncategorized,2025-06-15 10:55:41,,,
"SAR 39019, SAR-39019",Various,Repo Man (Music From The Original Motion Picture Soundtrack),"San Andreas Records, San Andreas Records","LP, Album, Pin",,1984,6967664,Uncategorized,2026-03-22 09:21:28,,,
SH 126109,Le Trio Camara,Le Trio Camara,Saravah,"LP, Album",,1970,1186520,Uncategorized,2025-06-15 10:54:14,,,
SCLP 314,Nicola Conte,Jet Sounds,Schema,"2xLP, Album",,2000,236371,Uncategorized,2025-06-15 10:18:46,,,
SCLP 331,Les Hommes,Les Hommes,Schema,"2x12"", Album",,2002,70946,Uncategorized,2025-06-15 10:35:22,,,
SRL 52006,Tom Petty And The Heartbreakers,Tom Petty And The Heartbreakers,Shelter Records,"LP, Album, San",,1976,3178015,Uncategorized,2026-04-07 18:05:12,,,
ST-5919,Les Baxter,Hell's Belles,Sidewalk (2),"LP, Album",,1969,4001894,Uncategorized,2025-06-15 10:28:09,,,
SILLP1503,BBC Radiophonic Workshop,BBC Radiophonic Workshop - 21,"Silva Screen, BBC Records","LP, Album, Mono, Lil",,2016,8635455,Uncategorized,2025-06-15 10:15:04,,,
SVLP 163,Nick Drake,Five Leaves Left,Simply Vinyl,"LP, Album, RE",,2009,3883628,Uncategorized,2025-06-15 10:20:45,,,
SR-104,X (5),Los Angeles,Slash,"LP, Album",,1980,458505,Uncategorized,2025-06-15 10:25:59,,,
SR-107,X (5),Wild Gift,Slash,"LP, Album",,1981,853977,Uncategorized,2025-06-15 10:25:08,,,
SR-107,X (5),Wild Gift,Slash,"LP, Album, EG ",,1981,33519230,Uncategorized,2025-06-15 10:25:49,,,
"LASHX 2, 882 002-1",Rank & File,Rank And File,"Slash, Rough Trade","12""",,1984,2786930,Uncategorized,2025-11-08 08:59:38,,,
"9 25310-1, 1-25310",The Knitters,Poor Little Critter On The Road,"Slash, Slash","LP, Album, Spe",,1985,1560391,Uncategorized,2025-06-15 10:34:35,,,
"SLR 62, slr 62",The Aislers Set,The Last Match,"Slumberland Records, Slumberland Records","LP, Album, RE",,2014,6118655,Uncategorized,2025-06-15 10:40:40,,,
19658-81552-1,Colby Acuff,Western White Pines,Sony Music Nashville,"2xLP, Album",,2023,28315471,Uncategorized,2025-11-08 09:02:47,,,
19802-81173-1,Colby Acuff,American Son,Sony Music Nashville,"2xLP, Album, Whi",,2024,31552558,Uncategorized,2025-06-15 09:42:27,,,
"SS 718, SS-718",Junior Walker & The All Stars,Greatest Hits,"Soul, Soul","LP, Comp",,1969,1390408,Uncategorized,2025-06-15 10:24:54,,,
"SOURLP 099, 0724357166515",Kings Of Convenience,Riot On An Empty Street,"Source 360°, Virgin, Source 360°, Virgin","LP, Album, Gat",,2004,291594,Uncategorized,2025-06-15 10:50:05,,,
LORD186,Lumbar,The First & Last Days Of Unwelcome,Southern Lord,"LP, Album, Ltd, Ora",,2013,5099328,Uncategorized,2025-06-15 10:53:22,,,
LSP-4807,Lou Reed,Transformer,"Speakers Corner Records, RCA Victor","LP, Album, RE, RM, RP, 180",,2020,15646371,Uncategorized,2026-04-07 18:12:15,,,
MK 3072,Sister Rosetta Tharpe,Spirituals In Rhythm,Spin-O-Rama,"LP, RE",,1961,5831672,Uncategorized,2026-04-07 18:23:51,,,
HNY 7677,Elvis Presley,Rockin' With Elvis New Years' Eve,Spirit Of America Records,"2xLP, Album, Unofficial",,1977,6701113,Uncategorized,2025-06-15 09:20:25,,,
SSS #3,Various,Soul Gold Vol. 1,SSS International,"LP, Album, Comp",,1968,2659848,Uncategorized,2025-06-15 09:09:31,,,
"DT-2706, DT 2706",The Beach Boys,"Best Of The Beach Boys, Vol. 2","Starline, Starline, Capitol Records, Capitol Records","LP, Comp, Win",,1972,1513005,Uncategorized,2025-11-08 08:58:34,,,
CR00882,Carla Thomas,Sweet Sweetheart,Stax,"LP, Album, RSD, Ltd, Blu",,2025,33676386,Uncategorized,2025-06-15 09:18:42,,,
MPS-8519,Various,It's Christmas Time Again,Stax,"LP, Comp, Ter",,1982,1590251,Uncategorized,2025-06-15 10:54:30,,,
S 724,Booker T & The MG's,Doin' Our Thing,Stax,"LP, Album",,1968,1081695,Uncategorized,2025-06-22 12:18:43,,,
S 725,Sam & Dave,Soul Men,Stax,"LP, Album, Wad",,1967,565111,Uncategorized,2026-04-07 18:16:09,,,
STS 2-3018,Various,The Living Word (Wattstax 2),Stax,"2xLP, Album, SON",,1973,748068,Uncategorized,2025-06-15 09:55:15,,,
STS 2009,Booker T & The MG's,The Booker T. Set,Stax,"LP, Foi",,1969,556175,Uncategorized,2025-06-22 12:18:53,,,
STS 3004,Rufus Thomas,Did You Heard Me?,Stax,"LP, Album, Club",,1972,887891,Uncategorized,2025-06-22 12:19:11,,,
STS 3017,The Sweet Inspirations,"Estelle, Myrna And Sylvia",Stax,"LP, Album, Son",,1973,1538453,Uncategorized,2025-06-15 09:55:26,,,
STS 3023,Various,Memphis Millions,Stax,"LP, Comp",,1973,1125816,Uncategorized,2025-06-15 10:09:15,,,
STS-2001,Booker T & The MG's,Soul Limbo,Stax,"LP, Album",,1968,3863496,Uncategorized,2025-11-08 08:58:12,,,
STS-3021,Various,Fillet Of Soul,Stax,"LP, Comp, RE",,2014,6978569,Uncategorized,2025-11-08 08:57:59,,,
STS-5509,Johnnie Taylor,Super Taylor,Stax,"LP, Album, Son",,1974,1907979,Uncategorized,2025-11-08 09:03:59,,,
STX-32244-01,Various,Stax Number Ones,Stax,"LP, Comp, Ltd, RE, Red",,2020,14642063,Uncategorized,2025-06-15 09:40:39,,,
SXD 089,Otis Redding,Good To Me - Live At The Whisky A Go Go - Volume 2,Stax,"LP, Album",,1993,1326016,Uncategorized,2026-04-07 18:20:43,,,
888072416888,Albert King,Born Under A Bad Sign,"Stax, Craft Recordings","LP, Album, RE, 180",,2023,26827217,Uncategorized,2025-06-15 09:40:46,,,
S 718,Carla Thomas,The Queen Alone,"Stax, Speakers Corner Records","LP, Album, RE, 180",,2018,11728798,Uncategorized,2025-11-08 08:56:10,,,
"MPS-8552, STS-2027",Booker T & The MG's,McLemore Avenue,"Stax, Stax","LP, Album, RE, RM",,1990,2684026,Uncategorized,2026-04-07 18:03:56,,,
"STAX 710, 710",Various,Memphis Gold Vol. I,"Stax, Stax","LP, Comp, Mono",,1966,4040564,Uncategorized,2025-11-08 09:05:14,,,
"S716, S 716, 716",Otis Redding & Carla Thomas,King & Queen,"Stax, Stax, Stax","LP, Album",,1967,2563985,Uncategorized,2025-06-15 09:27:11,,,
"S720, 720, S 720",The Mar-Keys / Booker T & The MG's,Back To Back,"Stax, Stax, Stax","LP, Album",,1967,643337,Uncategorized,2025-06-22 12:18:11,,,
"S 711, STAX S711, 711, STAX 711",Booker T & The MG's,And Now!,"Stax, Stax, Stax, Stax","LP, Album, Pre",,1966,1285290,Uncategorized,2025-06-15 09:26:57,,,
"STAX S 717, S 717, STAX 717, S-717",Booker T & The MG's,Hip Hug-Her,"Stax, Stax, Stax, Stax","LP, Album, MO ",,1967,1067779,Uncategorized,2025-11-08 08:58:21,,,
CR00451,Various,Stax Revue: Live In '65,"Stax, Volt, Craft Recordings","2xLP, Album, Comp",,2025,34772654,Uncategorized,2025-11-08 09:00:32,,,
STH2038,Various,The Funky 16 Corners,Stones Throw Records,"2xLP, Comp, Gat",,2001,181748,Uncategorized,2025-06-15 10:27:37,,,
